id,User Name,User ID,Follows,Followers,User Location,content,time
1145462244223807489,しらい★さん🎅（たくろーす）💣🍠,shirai_san_js,652,375,💣🍠🥕🍓🍀🍤🍡,"RT @lvtp7: ここは大洗？
日照専務、日野屋ママ、常盤さん、西村館長、
信じられない豪華メンバーが安城コロナに集まっていた。
この企画を進めてくれたコロナさんに本当に感謝。
ヴィーゼルよりまいわい号に乗りたがるお客さんが何人もみえてウケたｗ https://t.co/D…",Sun Jun 30 22:40:55 +0000 2019
1145462100501733376,東道いさな,isAna_todo,1590,1831,,@corona_rom おはおかコロナ〜！٩(ˊᗜˋ*)و✧︎,Sun Jun 30 22:40:21 +0000 2019
1145461408416460800,タックル,tackle_896,1046,311,,"RT @pyonpyon_chang: 安城コロナ、めっちゃ楽しかった♬

みんな良い人ばかりだったので、体力消耗激しいイナバウアーも出しちゃいました💓 https://t.co/OFsnaQk14r",Sun Jun 30 22:37:36 +0000 2019
1145459839566397441,アレックス(日常bot),Garucia_Days,1223,1309,タイガん家とか,@bvas71 Good morning！ ✩コロナ✩ まだ眠そーなツラしてんなっ？大丈夫か？,Sun Jun 30 22:31:22 +0000 2019
1145459809686179841,黒白院清羅,S_Kokubyakuin,23,32,私立晴光学園 生徒会室,"@bvas71 ✩コロナ✩さん
おはようございます〜#清羅bot",Sun Jun 30 22:31:14 +0000 2019
1145459251751424001,ゴン様@次回11月21日(土)〜24日(火),gonsama99,1347,985,大阪 高槻市,"RT @lvtp7: ここは大洗？
日照専務、日野屋ママ、常盤さん、西村館長、
信じられない豪華メンバーが安城コロナに集まっていた。
この企画を進めてくれたコロナさんに本当に感謝。
ヴィーゼルよりまいわい号に乗りたがるお客さんが何人もみえてウケたｗ https://t.co/D…",Sun Jun 30 22:29:01 +0000 2019
1145459173309554688,オンサ（コムムス）,onsa1966,2687,1151,福島 福島市,"RT @lvtp7: ここは大洗？
日照専務、日野屋ママ、常盤さん、西村館長、
信じられない豪華メンバーが安城コロナに集まっていた。
この企画を進めてくれたコロナさんに本当に感謝。
ヴィーゼルよりまいわい号に乗りたがるお客さんが何人もみえてウケたｗ https://t.co/D…",Sun Jun 30 22:28:43 +0000 2019
1145459082817499136,タックル,tackle_896,1046,311,,"RT @lvtp7: ここは大洗？
日照専務、日野屋ママ、常盤さん、西村館長、
信じられない豪華メンバーが安城コロナに集まっていた。
この企画を進めてくれたコロナさんに本当に感謝。
ヴィーゼルよりまいわい号に乗りたがるお客さんが何人もみえてウケたｗ https://t.co/D…",Sun Jun 30 22:28:21 +0000 2019
1145458684492800000,荒井あき,araiaki_ema,234,732,ふたご座のO型,今回の安城コロナまいわい祭が行われた会場のすぐそばにはオレンジペコというシャレオツなレストランがあったのを見逃していないぞ https://t.co/pqvkwTZulg,Sun Jun 30 22:26:46 +0000 2019
1145457455020687360,金満 福太郎,kinmanshouji,1421,1926,タブレットの前,"RT @hgWvkisQBWiwFJS: 安城遠征から日照戦車スタッフ一同無事に帰宅しました。
初の愛知県イベント展示で安城コロナ様、会場にお越しの皆様に、日照戦車を代表して感謝申し上げます。
次回が有りましたら是非❗️
＃日照戦車
＃あんころ祭
#プラ1",Sun Jun 30 22:21:53 +0000 2019
1145456963657981953,ぺりゐ,peri_EAK,418,114,猿も木からラップバトル川崎,#nowplaying コロナ - UVERworld - AwakEVE https://t.co/z93ZvQU3PV,Sun Jun 30 22:19:56 +0000 2019
1145456664436285440,タックル,tackle_896,1046,311,,RT @funatun: 関係者ヅラするの嫌なんですが、今回は感謝の意を。安城コロナさんの尽力が実って愛知で仲間と一緒にイベント楽しむ事が出来ました。ありがとうございました。安城コロナに集うファンのノリの良さに助けられて、グッズも完全撃破となりました。本当にありがとうございまし…,Sun Jun 30 22:18:45 +0000 2019
1145456151095472129,えあれ,gundamedf,1835,1065,試される大地 北海道,"RT @lvtp7: ここは大洗？
日照専務、日野屋ママ、常盤さん、西村館長、
信じられない豪華メンバーが安城コロナに集まっていた。
この企画を進めてくれたコロナさんに本当に感謝。
ヴィーゼルよりまいわい号に乗りたがるお客さんが何人もみえてウケたｗ https://t.co/D…",Sun Jun 30 22:16:42 +0000 2019
1145455898866749446,きゅっぷっい㌠@映像音響機器修理道始めました,moha103201,4997,2910,大洗&豊郷&宇治&浪速,"RT @lvtp7: ここは大洗？
日照専務、日野屋ママ、常盤さん、西村館長、
信じられない豪華メンバーが安城コロナに集まっていた。
この企画を進めてくれたコロナさんに本当に感謝。
ヴィーゼルよりまいわい号に乗りたがるお客さんが何人もみえてウケたｗ https://t.co/D…",Sun Jun 30 22:15:42 +0000 2019
1145454804614778880,荒井あき,araiaki_ema,234,732,ふたご座のO型,"RT @cosplay_news01: 安城コロナワールドに、戦車を展開しました。
コスプレイヤーさん達といっぱい記念撮影できたので超満足！
#ガルパン
#チャーチル歩兵戦車
#ダー様は何処 https://t.co/8iEachhVZb",Sun Jun 30 22:11:21 +0000 2019
1145453760052727809,つら,tsura_bb,335,325,,今環境の重火力ってやっぱファフとオルタ(コロナも)だよね？轟鉄強いけど継続火力無いから無理っぽい？,Sun Jun 30 22:07:12 +0000 2019
1145453056496001024,FIP（猫伝染性腹膜炎）bot,neko_FIP,518,539,,▼猫ちゃんを襲う恐ろしい病気▼ #neko_FIP #neko #cat #neko_mof FIP（猫伝染性腹膜炎）の診断に用いられる抗体価検査は猫腸コロナウイルスの抗体価を調べており、これだけでFIP発症という確定診断はできません。by FIP啓蒙活動onついったー,Sun Jun 30 22:04:24 +0000 2019
1145452781181927424,淫殿bot,IDwakarahen,47,36,,コロナクラブの常連だったなんてここでは言えない…,Sun Jun 30 22:03:19 +0000 2019
1145452743420567552,SASUKE@そらとも,mihooku1,648,600,,@corona_rom コロナさんおはころなです(￣^￣)ゞ,Sun Jun 30 22:03:10 +0000 2019
1145452683601465344,空緒美もか,peke_mocha,1079,939,仙台,@corona_rom コロナさんおはござ〜🍈,Sun Jun 30 22:02:55 +0000 2019
1145452374871273472,シマナガシアジトの冷蔵庫bot,C_smngs_bot,38,40,エンガワ・ストリート,アナイアレイターがコロナを二本取っていきました。,Sun Jun 30 22:01:42 +0000 2019
1145451598409162753,みるくてぃ,gorogoromilktea,212,127,愛知県,"RT @naoj_taiyo: 7月3日の皆既日食に関するGIZMODOの記事を見つけましたので紹介します。弊プロジェクトの観測隊にも言及しています。

来月、南太平洋や南米で観測される皆既日食。アンデスの天文台では、コロナや磁場、電離圏に対する影響なんかを調べるみたい htt…",Sun Jun 30 21:58:37 +0000 2019
1145450871951486977,ARCOIRIS(アルコイリス),arcoiris_nagano,200,107,長野市北石堂町1435 新室町ビル2F,"アルコイリスに行く前にクーポンをCHECK❗️
お得に楽しんで下さいね❗️
#アルコイリス #誕生日会 #女子会 #バル #長野市 #コロナ #おしゃれ #オシャレ #貸切 #インスタ映え #メキシコ #スペイン… https://t.co/qJYr2fWwM7",Sun Jun 30 21:55:43 +0000 2019
1145450643051536384,hb1honda,hb1honda1,195,168,,"RT @4031eb818488456: 先程、安生コロナより埼玉県のシベリアに無事帰国w
こちらでも関わる全ての方に温かく迎えて頂き大洗町、ガルパンと同じく優しい世界でした♥️
全てのガルパンさんに感謝で有ります♪これが思い出に成らぬよう、何時までも、このワクワク、ドキドキが…",Sun Jun 30 21:54:49 +0000 2019
1145449980586385408,太陽マヂックbot,taiyoumagic_bot,5,4,8.3光分むこう,コロナは百八十万二十,Sun Jun 30 21:52:11 +0000 2019
1145449838919602182,ふるり,FururiMama98,659,2431,全国,"@nanofunya コロナの除湿機最高です～🎶
雪が降った時の衣類乾燥機として使ってますが、ラインナップが沢山あるので、ちょっとした除湿もお任せあれだと思います！",Sun Jun 30 21:51:37 +0000 2019
